tradingDate,institutionCode,currency,tenor,rate
2026-06-01,BI-01,USD,1W,1.64
2026-06-01,BI-01,USD,2W,3.10
2026-06-01,BI-01,USD,1M,0.57
2026-06-01,BI-01,USD,3M,1.65
2026-06-01,BI-01,CHF,1W,4.76
2026-06-01,BI-01,CHF,2W,3.68
2026-06-01,BI-01,CHF,1M,5.28
2026-06-01,BI-01,CHF,3M,2.75
2026-06-01,BI-01,CHF,1Y,0.90
2026-06-01,BI-01,EUR,1W,2.14
2026-06-01,BI-01,EUR,2W,4.98
2026-06-01,BI-01,EUR,1M,4.04
2026-06-01,BI-01,EUR,3M,0.53
2026-06-01,BI-01,EUR,1Y,1.53
2026-06-01,BP-01,USD,1W,0.88
2026-06-01,BP-01,USD,2W,1.49
2026-06-01,BP-01,USD,1M,2.13
2026-06-01,BP-01,USD,3M,0.53
2026-06-01,BP-01,CHF,1W,2.55
2026-06-01,BP-01,CHF,2W,4.86
2026-06-01,BP-01,CHF,1M,5.03
2026-06-01,BP-01,CHF,3M,2.12
2026-06-01,BP-01,CHF,1Y,2.00
2026-06-01,BP-01,EUR,1W,4.71
2026-06-01,BP-01,EUR,2W,4.29
2026-06-01,BP-01,EUR,1M,1.33
2026-06-01,BP-01,EUR,3M,0.73
2026-06-01,BP-01,EUR,1Y,4.25
2026-06-01,QNB-01,USD,1W,4.33
2026-06-01,QNB-01,USD,2W,2.02
2026-06-01,QNB-01,USD,1M,0.80
2026-06-01,QNB-01,USD,3M,2.16
2026-06-01,QNB-01,CHF,1W,2.22
2026-06-01,QNB-01,CHF,2W,3.72
2026-06-01,QNB-01,CHF,1M,3.11
2026-06-01,QNB-01,CHF,3M,4.66
2026-06-01,QNB-01,CHF,1Y,3.07
2026-06-01,QNB-01,EUR,1W,1.89
2026-06-01,QNB-01,EUR,2W,2.06
2026-06-01,QNB-01,EUR,1M,4.48
2026-06-01,QNB-01,EUR,3M,4.18
2026-06-01,QNB-01,EUR,1Y,4.10
2026-06-01,SG-01,USD,1W,1.72
2026-06-01,SG-01,USD,2W,0.54
2026-06-01,SG-01,USD,1M,5.02
2026-06-01,SG-01,USD,3M,3.93
2026-06-01,SG-01,CHF,1W,2.91
2026-06-01,SG-01,CHF,2W,5.43
2026-06-01,SG-01,CHF,1M,2.55
2026-06-01,SG-01,CHF,3M,4.33
2026-06-01,SG-01,CHF,1Y,2.34
2026-06-01,SG-01,EUR,1W,3.11
2026-06-01,SG-01,EUR,2W,0.99
2026-06-01,SG-01,EUR,1M,4.37
2026-06-01,SG-01,EUR,3M,4.99
2026-06-01,SG-01,EUR,1Y,4.40
